"name"	"taxRank"	"taxID"	"Max"	"X5089.b.cladeReads"	"X5090.b.cladeReads"	"X5091.b.cladeReads"	"X5092.b.cladeReads"	"X5093.b.cladeReads"	"X5094.b.cladeReads"	"X5101.b.cladeReads"	"X5102.b.cladeReads"	"X5103.b.cladeReads"	"X5104.b.cladeReads"	"X5105.b.cladeReads"	"X5106.k.cladeReads"	"Max.1"	"X5089.b.cladeReads.."	"X5090.b.cladeReads.."	"X5091.b.cladeReads.."	"X5092.b.cladeReads.."	"X5093.b.cladeReads.."	"X5094.b.cladeReads.."	"X5101.b.cladeReads.."	"X5102.b.cladeReads.."	"X5103.b.cladeReads.."	"X5104.b.cladeReads.."	"X5105.b.cladeReads.."	"X5106.k.cladeReads.."	"Max.2"	"X5089.b.cladeReads.rank"	"X5090.b.cladeReads.rank"	"X5091.b.cladeReads.rank"	"X5092.b.cladeReads.rank"	"X5093.b.cladeReads.rank"	"X5094.b.cladeReads.rank"	"X5101.b.cladeReads.rank"	"X5102.b.cladeReads.rank"	"X5103.b.cladeReads.rank"	"X5104.b.cladeReads.rank"	"X5105.b.cladeReads.rank"	"X5106.k.cladeReads.rank"	"Max.3"	"X5089.b.cladeReads.z.score"	"X5090.b.cladeReads.z.score"	"X5091.b.cladeReads.z.score"	"X5092.b.cladeReads.z.score"	"X5093.b.cladeReads.z.score"	"X5094.b.cladeReads.z.score"	"X5101.b.cladeReads.z.score"	"X5102.b.cladeReads.z.score"	"X5103.b.cladeReads.z.score"	"X5104.b.cladeReads.z.score"	"X5105.b.cladeReads.z.score"	"X5106.k.cladeReads.z.score"	"Max.4"	"X5089.b.cladeReads...z.score"	"X5090.b.cladeReads...z.score"	"X5091.b.cladeReads...z.score"	"X5092.b.cladeReads...z.score"	"X5093.b.cladeReads...z.score"	"X5094.b.cladeReads...z.score"	"X5101.b.cladeReads...z.score"	"X5102.b.cladeReads...z.score"	"X5103.b.cladeReads...z.score"	"X5104.b.cladeReads...z.score"	"X5105.b.cladeReads...z.score"	"X5106.k.cladeReads...z.score"	"lineage"
"Microbacterium lushaniae"	"S"	2614639	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.364e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.364e-05	2935	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2935	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.01364	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01364	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microbacterium"
"Microbacterium maritypicum"	"S"	33918	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.364e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.364e-05	2935	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2935	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.01364	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01364	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microbacterium"
"Microbacterium horticulturae"	"S"	3028316	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.364e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.364e-05	2935	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2935	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.01364	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01364	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microbacterium"
"Microbacterium aurantiacum"	"S"	162393	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.364e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.364e-05	2935	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2935	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.01364	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01364	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microbacterium"
"Paramicrobacterium chengjingii"	"S"	2769067	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	4.091e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.091e-05	1465	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1465	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	0.04091	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.04091	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Paramicrobacterium"
"Leifsonia sp. P73"	"S"	3423959	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2.727e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.727e-05	1899.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1899.5	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0.02727	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.02727	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Leifsonia>unclassified&nbsp;Leifsonia"
"Leifsonia sp. ZF2019"	"S"	2781978	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.364e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.364e-05	2935	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2935	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.01364	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01364	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Leifsonia>unclassified&nbsp;Leifsonia"
"Leifsonia sp. 21MFCrub1.1"	"S"	1798223	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.364e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.364e-05	2935	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2935	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.01364	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01364	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Leifsonia>unclassified&nbsp;Leifsonia"
"Humibacter ginsenosidimutans"	"S"	2599293	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	6.818e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.818e-05	1054.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1054.5	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	0.06818	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.06818	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Humibacter"
"Curtobacterium sp. MCSS17_016"	"S"	2175644	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2.727e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.727e-05	1899.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1899.5	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0.02727	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.02727	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Curtobacterium>unclassified&nbsp;Curtobacterium"
"Curtobacterium sp. MCLR17_007"	"S"	2175648	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.364e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.364e-05	2935	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2935	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.01364	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01364	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Curtobacterium>unclassified&nbsp;Curtobacterium"
"Curtobacterium flaccumfaciens"	"S"	2035	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.364e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.364e-05	2935	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2935	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.01364	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01364	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Curtobacterium"
"Cryobacterium sp. SO2"	"S"	1897060	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.364e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.364e-05	2935	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2935	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.01364	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01364	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Cryobacterium>unclassified&nbsp;Cryobacterium"
"Cryobacterium sp. SO1"	"S"	1897061	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.364e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.364e-05	2935	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2935	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.01364	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01364	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Cryobacterium>unclassified&nbsp;Cryobacterium"
"Cryobacterium breve"	"S"	1259258	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.364e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.364e-05	2935	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2935	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.01364	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01364	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Cryobacterium"
"Agromyces soli"	"S"	659012	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.364e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.364e-05	2935	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2935	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.01364	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01364	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Agromyces"
"Agromyces laixinhei"	"S"	2585717	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.364e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.364e-05	2935	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2935	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.01364	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01364	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Agromyces"
"Agromyces intestinalis"	"S"	2592652	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.364e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.364e-05	2935	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2935	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.01364	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01364	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Agromyces"
"Leucobacter sp. Z1108"	"S"	3439066	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.364e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.364e-05	2935	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2935	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.01364	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01364	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Leucobacter>unclassified&nbsp;Leucobacter"
"Leucobacter luti"	"S"	340320	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.364e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.364e-05	2935	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2935	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.01364	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01364	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Leucobacter"
"Microcella flavibacter"	"S"	1804990	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2.727e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.727e-05	1899.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1899.5	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0.02727	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.02727	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microcella"
"Chryseoglobus sp. 28M-23"	"S"	2772253	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.364e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.364e-05	2935	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2935	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.01364	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01364	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microcella>unclassified&nbsp;Microcella"
"Protaetiibacter larvae"	"S"	2592654	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2.727e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.727e-05	1899.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1899.5	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0.02727	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.02727	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Protaetiibacter"
"Okibacterium fritillariae"	"S"	123320	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.364e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.364e-05	2935	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2935	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.01364	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01364	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Okibacterium"
"Salinibacterium sp. M195"	"S"	2583374	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.364e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.364e-05	2935	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2935	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.01364	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01364	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Salinibacterium>unclassified&nbsp;Salinibacterium"
"Agrococcus jejuensis"	"S"	399736	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.364e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.364e-05	2935	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2935	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.01364	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01364	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Agrococcus"
"Aurantimicrobium sp. MWH-Uga1"	"S"	2079575	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.364e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.364e-05	2935	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2935	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.01364	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01364	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Aurantimicrobium>unclassified&nbsp;Aurantimicrobium"
"Brevibacterium siliguriense"	"S"	1136497	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2.727e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.727e-05	1899.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1899.5	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0.02727	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.02727	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Micrococcales>Brevibacteriaceae>Brevibacterium"
"Cellulomonas sp. NS3"	"S"	2973977	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.364e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.364e-05	2935	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2935	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.01364	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01364	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Micrococcales>Cellulomonadaceae>Cellulomonas>unclassified&nbsp;Cellulomonas"
"Paraoerskovia marina"	"S"	545619	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.364e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.364e-05	2935	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2935	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.01364	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01364	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Micrococcales>Cellulomonadaceae>Paraoerskovia"
"Cellulosimicrobium sp. SJTW-1"	"S"	3078082	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2.727e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.727e-05	1899.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1899.5	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0.02727	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.02727	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Micrococcales>Promicromonosporaceae>Cellulosimicrobium>unclassified&nbsp;Cellulosimicrobium"
"Xylanimonas sp. McL0601"	"S"	3414739	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.364e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.364e-05	2935	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2935	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.01364	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01364	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Micrococcales>Promicromonosporaceae>Xylanimonas>unclassified&nbsp;Xylanimonas"
"Ornithinimicrobium cryptoxanthini"	"S"	2934161	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	4.091e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.091e-05	1465	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1465	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	0.04091	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.04091	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Micrococcales>Ornithinimicrobiaceae>Ornithinimicrobium"
"Intrasporangium calvum"	"S"	53358	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.364e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.364e-05	2935	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2935	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.01364	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01364	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Micrococcales>Intrasporangiaceae>Intrasporangium"
"Knoellia sp. S7-12"	"S"	3126698	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.364e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.364e-05	2935	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2935	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.01364	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01364	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Micrococcales>Intrasporangiaceae>Knoellia>unclassified&nbsp;Knoellia"
"Yimella sp. cx-51"	"S"	2770551	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.364e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.364e-05	2935	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2935	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.01364	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01364	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Micrococcales>Dermacoccaceae>Yimella>unclassified&nbsp;Yimella"
"Barrientosiimonas humi"	"S"	999931	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.364e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.364e-05	2935	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2935	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.01364	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01364	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Micrococcales>Dermacoccaceae>Barrientosiimonas"
"Beutenbergia cavernae"	"S"	84757	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.364e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.364e-05	2935	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2935	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.01364	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01364	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Micrococcales>Beutenbergiaceae>Beutenbergia"
"Dermabacter vaginalis"	"S"	1630135	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.364e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.364e-05	2935	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2935	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.01364	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01364	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Micrococcales>Dermabacteraceae>Dermabacter"
"Streptomyces sp. NBC_01283"	"S"	2903812	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	0.0001091	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0001091	800.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	800.5	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	0.1091	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1091	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Kitasatosporales>Streptomycetaceae>Streptomyces>unclassified&nbsp;Streptomyces"
"Streptomyces sp. NBC_01260"	"S"	2903801	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	5.454e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.454e-05	1211	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1211	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0.05454	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.05454	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Kitasatosporales>Streptomycetaceae>Streptomyces>unclassified&nbsp;Streptomyces"
"Streptomyces sp. HUAS TT3"	"S"	3447510	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	5.454e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.454e-05	1211	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1211	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0.05454	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.05454	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Kitasatosporales>Streptomycetaceae>Streptomyces>unclassified&nbsp;Streptomyces"
